date,ticker,open,high,low,close,volume,is_extended_hours,year,month,day,hour
2019-12-24 10:00:00+00:00,AAPL,284.13,284.49,283.83,284.16,25331,False,2019,12,24,10
2019-12-24 09:00:00+00:00,AAPL,284.66,284.88,282.97,284.12,75261,False,2019,12,24,9
2019-12-23 15:00:00+00:00,AAPL,284.09,284.24,283.56,283.98,46110,False,2019,12,23,15
2019-12-23 14:00:00+00:00,AAPL,283.67,284.17,283.65,284.07,16264,False,2019,12,23,14
2019-12-23 13:00:00+00:00,AAPL,283.53,283.96,283.46,283.68,26236,False,2019,12,23,13
2019-12-23 12:00:00+00:00,AAPL,283.42,284.02,283.39,283.56,36740,False,2019,12,23,12
2019-12-23 11:00:00+00:00,AAPL,282.78,283.74,282.78,283.48,30522,False,2019,12,23,11
2019-12-23 10:00:00+00:00,AAPL,282.02,282.93,281.81,282.68,76609,False,2019,12,23,10
2019-12-23 09:00:00+00:00,AAPL,280.51,282.4,280.51,281.98,122704,False,2019,12,23,9
2019-12-20 15:00:00+00:00,AAPL,280.46,280.49,278.63,279.12,177051,False,2019,12,20,15
2019-12-20 14:00:00+00:00,AAPL,280.73,280.76,280.16,280.43,46797,False,2019,12,20,14
2019-12-20 13:00:00+00:00,AAPL,280.89,281.09,280.76,280.79,30838,False,2019,12,20,13
2019-12-20 12:00:00+00:00,AAPL,281.01,281.17,280.68,280.9,48380,False,2019,12,20,12
2019-12-20 11:00:00+00:00,AAPL,281.42,281.87,280.86,281.06,81429,False,2019,12,20,11
2019-12-20 10:00:00+00:00,AAPL,280.94,281.79,280.76,281.41,48879,False,2019,12,20,10
2019-12-20 09:00:00+00:00,AAPL,282.16,282.22,280.89,280.93,93217,False,2019,12,20,9
2019-12-19 15:00:00+00:00,AAPL,279.66,280.06,279.35,280.03,94281,False,2019,12,19,15
2019-12-19 14:00:00+00:00,AAPL,279.08,280.05,278.96,279.7,26084,False,2019,12,19,14
2019-12-19 13:00:00+00:00,AAPL,279.47,279.77,279.07,279.09,16313,False,2019,12,19,13
2019-12-19 12:00:00+00:00,AAPL,279.85,279.95,279.0,279.46,21066,False,2019,12,19,12
2019-12-19 11:00:00+00:00,AAPL,279.51,280.22,279.5,279.78,19159,False,2019,12,19,11
